x,y,text,color
1,2.24773343665246,"David Johnson (ARI, RB)",RB
2,2.237272375048431,"Le'Veon Bell (PIT, RB)",RB
3,1.7885264341957254,"Antonio Brown (PIT, WR)",WR
4,1.7614103060829134,"Lesean McCoy (BUF, RB)",RB
5,1.7298606904906118,"Odell Beckham (NYG, WR)",WR
6,1.728995414034784,"Julio Jones (ATL, WR)",WR
7,1.6864781092599765,"Devonta Freeman (ATL, RB)",RB
8,1.6699835597473394,"Mike Evans (TB, WR)",WR
9,1.668268113134444,"DeMarco Murray (TEN, RB)",RB
10,1.6679934238989358,"Jordy Nelson (GB, WR)",WR
11,1.6602092212320805,"Melvin Gordon (LAC, RB)",RB
12,1.6142597559920395,"A.J. Green (CIN, WR)",WR
13,1.5908022195053138,"Rob Gronkowski (NE, TE)",TE
14,1.567188716795016,"T.Y. Hilton (IND, WR)",WR
15,1.5562185199535064,"Jordan Howard (CHI, RB)",RB
16,1.5444401394808214,"Jay Ajayi (MIA, RB)",RB
17,1.5371636237777973,"Dez Bryant (DAL, WR)",WR
18,1.473479276628883,"Brandin Cooks (NE, WR)",WR
19,1.4209569957601453,"Doug Baldwin (SEA, WR)",WR
20,1.418966859911742,"Amari Cooper (OAK, WR)",WR
21,1.3948082138705926,"Todd Gurley (LA, RB)",RB
22,1.38845408756296,"Lamar Miller (HOU, RB)",RB
23,1.3436652460286709,"Ezekiel Elliott (DAL, RB)",RB
24,1.3389287877476856,"DeAndre Hopkins (HOU, WR)",WR
25,1.3364194860257852,"Michael Thomas (NO, WR)",WR
26,1.3137492428831012,"Allen Robinson (JAC, WR)",WR
27,1.2931556632344035,"Michael Crabtree (OAK, WR)",WR
28,1.2885356907740053,"Greg Olsen (CAR, TE)",TE
29,1.2811957502951183,"Aaron Rodgers (GB, QB)",QB
30,1.2560353032793978,"Alshon Jeffery (PHI, WR)",WR
31,1.2538721121398286,"Jarvis Landry (MIA, WR)",WR
32,1.2537166208694426,"Denver  (DEN, D)",D
33,1.2458384275369134,"Travis Kelce (KC, TE)",TE
34,1.2421908799861556,"Sammy Watkins (LA, WR)",WR
35,1.2356147789218657,"Golden Tate (DET, WR)",WR
