x,y,text,color
105,0.9848621623498369,"Matthew Stafford (DET, QB)",QB
106,1.0590431903050799,"New  (NE, D)",D
107,0.7868268113134443,"Jonathan Stewart (CAR, RB)",RB
108,0.9656485247036428,"Donte Moncrief (IND, WR)",WR
109,0.8271212708252614,"Terrance West (BAL, RB)",RB
110,0.8365413761745983,"Chandler Catanzaro (NYJ, K)",K
111,0.9701756822442886,"Philip Rivers (LAC, QB)",QB
112,0.8867880666408368,"Theo Riddick (DET, RB)",RB
113,1.0781297362837223,"Justin Tucker (BAL, K)",K
114,0.8120003761873413,"Hunter Henry (LAC, TE)",TE
115,0.7277024409143742,"Samaje Perine (WSH, RB)",RB
116,0.6152654010073615,"Thomas Rawls (SEA, RB)",RB
117,0.9168469325949641,"Corey Davis (TEN, WR)",WR
118,0.8905850445563734,"Matt Forte (NYJ, RB)",RB
119,1.066080630494089,"Matt Bryant (ATL, K)",K
120,0.8813128938211229,"Jack Doyle (IND, TE)",TE
121,1.0269966254218224,"Kenny Britt (CLE, WR)",WR
122,0.867093536384875,"Corey Coleman (CLE, WR)",WR
123,0.9415028684284774,"Eric Ebron (DET, TE)",TE
124,0.8926191918317903,"John Brown (ARI, WR)",WR
125,0.7419604804339403,"Duke Johnson (CLE, RB)",RB
126,0.9920394566063858,"Chris Hogan (NE, WR)",WR
127,0.938132733408324,"Mike Wallace (BAL, WR)",WR
128,0.5687717938783418,"Jamaal Williams (GB, RB)",RB
129,0.6977915536613715,"Jeremy Hill (CIN, RB)",RB
130,0.6529252227818675,"James White (NE, RB)",RB
131,0.7880666408368849,"Latavius Murray (MIN, RB)",RB
132,0.8051397421476162,"Adam Thielen (MIN, WR)",WR
133,0.8607770182573333,"Marvin Jones (DET, WR)",WR
134,0.8958405666273176,"Eli Manning (NYG, QB)",QB
135,0.9972521665609807,"New  (NYG, D)",D
136,0.6881543653197197,"Tyrell Williams (LAC, WR)",WR
137,0.9669464393873843,"Rishard Matthews (TEN, WR)",WR
138,0.7789899369886203,"Jason Witten (DAL, TE)",TE
139,1.057820551682328,"Dan Bailey (DAL, K)",K
140,0.6037194885703215,"Jamaal Charles (DEN, RB)",RB
141,0.8628567460593015,"Carson Wentz (PHI, QB)",QB
142,0.9745850982570655,"Andy Dalton (CIN, QB)",QB
143,0.9831607130275487,"Carolina  (CAR, D)",D
144,0.7386284385896938,"Darren Sproles (PHI, RB)",RB
145,0.6011623401782255,"C.J. Prosise (SEA, RB)",RB
146,0.760170476559473,"Jacquizz Rodgers (TB, RB)",RB
147,0.9816561391364542,"Jordan Matthews (BUF, WR)",WR
148,0.9143462259565309,"Carson Palmer (ARI, QB)",QB
149,0.9594125407957781,"Tyrod Taylor (BUF, QB)",QB
150,0.7009310636697076,"Jared Cook (OAK, TE)",TE
151,0.8518646707623087,"Ted Ginn Jr. (NO, WR)",WR
152,1.0376629281600485,"Mason Crosby (GB, K)",K
153,0.597479544813317,"O.J. Howard (TB, TE)",TE
154,0.7976118369819158,"Cole Beasley (DAL, WR)",WR
155,0.8287617893917107,"Sterling Shepard (NYG, WR)",WR
156,0.9565278658493622,"Pittsburgh  (PIT, D)",D
157,0.46586594343277793,"Marlon Mack (IND, RB)",RB
158,0.793191009122543,"Coby Fleener (NO, TE)",TE
159,0.761121038277062,"Cameron Brate (TB, TE)",TE
160,0.5528251276282773,"Taylor Gabriel (ATL, WR)",WR
161,0.9177987366963745,"Zay Jones (BUF, WR)",WR
162,1.0201576235222793,"Graham Gano (CAR, K)",K
163,1.0,"Philadelphia  (PHI, D)",D
164,1.0,"Sebastian Janikowski (OAK, K)",K
165,1.0567181004720636,"Baltimore  (BAL, D)",D
166,0.7228439763001975,"Antonio Gates (LAC, TE)",TE
167,0.74076317383404,"Mohamed Sanu (ATL, WR)",WR
168,0.9974992421946043,"Cairo Santos (KC, K)",K
169,0.9455137920581994,"Chris Boswell (PIT, K)",K
170,0.8518852857440457,"Joe Flacco (BAL, QB)",QB
171,0.5958293674829108,"Danny Amendola (NE, WR)",WR
172,0.7352581585629644,"Austin Hooper (ATL, TE)",TE
173,1.0335707790239466,"Steven Hauschka (BUF, K)",K
174,0.7479544813317032,"Julius Thomas (MIA, TE)",TE
175,0.9795673923765236,"Los  (LA, D)",D
176,0.7191312624383491,"Tyler Lockett (SEA, WR)",WR
177,1.060245528948166,"Adam Vinatieri (IND, K)",K
178,0.8268864933417882,"Oakland  (OAK, D)",D
179,0.7029521595152539,"Atlanta  (ATL, D)",D
180,0.9170013386880856,"Dallas  (DAL, D)",D
181,0.5213290646361513,"John Ross (CIN, WR)",WR
182,1.0486859719580075,"Jacksonville  (JAC, D)",D
183,0.5617977528089887,"Charcandrick West (KC, RB)",RB
184,0.9019234834073133,"Tampa  (TB, D)",D
185,0.60015497869043,"Chris Thompson (WSH, RB)",RB
186,0.7977848922730814,"Kevin White (CHI, WR)",WR
187,0.8545934310117353,"Sam Bradford (MIN, QB)",QB
188,0.4735658042744657,"J.J. Nelson (ARI, WR)",WR
189,0.4743445530847106,"Mike Williams (LAC, WR)",WR
190,0.7267725687717939,"Giovani Bernard (CIN, RB)",RB
191,0.5752808988764044,"Dion Lewis (NE, RB)",RB
192,0.9501364049712033,"Brandon McManus (DEN, K)",K
193,0.5617202634637737,"Charles Sims (TB, RB)",RB
194,0.8973173688996665,"Blair Walsh (SEA, K)",K
195,0.7031236480055378,"Tavon Austin (LA, WR)",WR
196,0.8860001409145353,"Green  (GB, D)",D
197,0.8969863203944172,"Blake Bortles (JAC, QB)",QB
198,0.9802719650531951,"Cincinnati  (CIN, D)",D
199,0.6392662455654582,"Kenny Stills (MIA, WR)",WR
200,1.027811458017581,"Matt Prater (DET, K)",K
201,0.684001038331747,"Kenny Golladay (DET, WR)",WR
202,0.6244709865513026,"David Njoku (CLE, TE)",TE
203,0.9826462564413457,"Dustin Hopkins (WSH, K)",K
204,0.5522194341091979,"Josh Doctson (WSH, WR)",WR
205,0.5356063541263076,"DeAndre Washington (OAK, RB)",RB
206,0.8461655046983934,"Caleb Sturgis (PHI, K)",K
207,0.47617202634637734,"Alfred Morris (DAL, RB)",RB
208,0.6630613481007182,"Torrey Smith (PHI, WR)",WR
209,0.9157331078700768,"Los  (LAC, D)",D
210,0.8687381103360811,"Tennessee  (TEN, D)",D
211,0.9086268062646017,"Robby Anderson (NYJ, WR)",WR
212,0.755865567533291,"Buffalo  (BUF, D)",D
213,0.906335253107002,"Kai Forbath (MIN, K)",K
214,0.6984858459512837,"C.J. Fiedorowicz (HOU, TE)",TE
215,0.8587331783273444,"Washington  (WSH, D)",D
216,0.758472486436976,"Miami  (MIA, D)",D
217,0.8146408002424976,"Nick Novak (HOU, K)",K
218,0.4894003634161115,"Travis Benjamin (LAC, WR)",WR
219,0.8090608046219967,"San  (SF, D)",D
220,0.5943583975080038,"Terrance Williams (DAL, WR)",WR
221,0.5226269793198928,"Curtis Samuel (CAR, WR)",WR
222,0.902473431769021,"Zach Miller (CHI, TE)",TE
223,0.5860517435320586,"Breshad Perriman (BAL, WR)",WR
224,0.926568657168839,"Phil Dawson (ARI, K)",K
225,0.8046924540266328,"Chicago  (CHI, D)",D
226,0.7506818395560989,"Charles Clay (BUF, TE)",TE
227,0.52948469585432,"Shane Vereen (NYG, RB)",RB
228,0.6910448812795039,"Detroit  (DET, D)",D
229,0.6114281688156133,"New  (NO, D)",D
230,0.5022929826079432,"Marqise Lee (JAC, WR)",WR
231,0.5024660378991088,"Jermaine Kearse (SEA, WR)",WR
232,0.7644613541886845,"Cleveland  (CLE, D)",D
233,0.9571839951500454,"Ryan Succop (TEN, K)",K
234,0.6952496322575062,"Allen Hurns (JAC, WR)",WR
235,0.48384347152266555,"Jalen Richard (OAK, RB)",RB
236,0.838208548044862,"Josh Lambo (LAC, K)",K
237,0.9546832373446499,"Robbie Gould (SF, K)",K
238,0.9936344346771748,"Wil Lutz (NO, K)",K
239,0.9627917550772961,"Randy Bullock (CIN, K)",K
240,0.8898908760230373,"Cody Parkey (CLE, K)",K
241,0.8514701424674143,"Connor Barth (CHI, K)",K
242,0.7191312624383491,"Brandon LaFell (CIN, WR)",WR
243,0.7058060050186035,"Kendall Wright (CHI, WR)",WR
244,0.6590810764039111,"ArDarius Stewart (NYJ, WR)",WR
245,0.6575235787834213,"Chris Conley (KC, WR)",WR
246,0.6178939171065155,"Tyler Boyd (CIN, WR)",WR
247,0.6670742029530707,"Vance McDonald (PIT, TE)",TE
248,0.5510080470710392,"Jeremy Kerley (SF, WR)",WR
249,0.5812094423022666,"Jermaine Gresham (ARI, TE)",TE
250,0.47384734598992634,"Matt Breida (SF, RB)",RB
251,0.4956303538980705,"Eli Rogers (PIT, WR)",WR
252,0.47278705546422084,"Justin Hardy (ATL, WR)",WR
253,0.9269475598666261,"Nick Folk (TB, K)",K
254,0.8729655463961108,"Indianapolis  (IND, D)",D
255,0.9008790542588663,"Aldrick Rosas (NYG, K)",K
256,0.9361170051530766,"Jason Myers (JAC, K)",K
257,0.7932079193968857,"New  (NYJ, D)",D
258,0.875265231888451,"Greg Zuerlein (LA, K)",K
259,0.516656571774682,"Nelson Agholor (PHI, WR)",WR
260,0.8845862382540164,"Andrew Franks (MIA, K)",K
