"X","Y","Label","Color"
3.88894652929768,6,"Fund: TR06<br>E[Return]: 6.0%<br>SD(Return): 3.9%",1.54283427524615
5.34761674770441,8,"Fund: TR08<br>E[Return]: 8.0%<br>SD(Return): 5.3%",1.49599351962427
6.84881384389593,10,"Fund: TR10<br>E[Return]: 10.0%<br>SD(Return): 6.8%",1.46010684885421
8.66682288414027,12,"Fund: TR12<br>E[Return]: 12.0%<br>SD(Return): 8.7%",1.38459042724402
