"Month","MDY","SPY","TR06","TR08","TR10","TR12"
"2016-04-01",1.57558605648026,1.64246104534576,1.25871118865061,1.35679236732089,1.44452052567634,1.53411281275277
"2016-05-01",1.61096784552015,1.67040191328223,1.26236608254185,1.36126044191081,1.45019288823136,1.53805399115795
"2016-06-01",1.61848529885795,1.6762079003707,1.28424891749587,1.39310476439216,1.49080078696269,1.59325321244747
"2016-07-01",1.6871532750012,1.73734139017535,1.30473584355461,1.42327816843545,1.53173708706169,1.63976318181678
"2016-08-01",1.69488212089306,1.73942192443048,1.31109095502631,1.43157636714465,1.54380656856958,1.64804556395284
"2016-09-01",1.68490078394526,1.73952277719737,1.30841523088199,1.42713536298586,1.53835288911286,1.65085535344592
"2016-10-01",1.64013250398552,1.70936460451328,1.29529362276909,1.4059379884444,1.50792782002967,1.61140193807206
"2016-11-01",1.76942344132446,1.77233484105537,1.30443603538388,1.41960118911627,1.53464295609448,1.67012018400201
"2016-12-01",1.80797294889557,1.80826332578967,1.32551472001192,1.45114671851757,1.57904471755111,1.72899269956167
"2017-01-01",1.83775330562642,1.84062163713721,1.32914024334367,1.45557085347515,1.5817865234422,1.72207933587172
"2017-02-01",1.89383855029253,1.91512669755241,1.34423548249928,1.47762498525424,1.61007227884445,1.75193681449834
