AUM,EXPENSE_RATIO,FUND,ISSUER,RETURN_10YR,RETURN_1YR,RETURN_3YR,RETURN_5YR,SEGMENT,TICKER
12296827900.0,15.0,iShares Edge MSCI Min Vol USA ETF,['BlackRock'],,0.173322,0.125556,0.139335,Equity: U.S.  -  Total Market,USMV
11293070215.0,20.0,iShares 1-3 Year Credit Bond ETF,['BlackRock'],0.027804,0.018734,0.010967,0.012979,Fixed Income: U.S.  -  Corporate Investment Grade Short-Term,CSJ
11125715988.96,8.0,Vanguard Small Cap Value Index Fund,['Vanguard'],0.076021,0.384967,0.106307,0.145928,Equity: U.S.  -  Small Cap Value,VBR
9607297770.0,25.0,iShares Russell Mid-Cap Value ETF,['BlackRock'],0.072114,0.333571,0.099886,0.143964,Equity: U.S.  -  Mid Cap Value,IWS
9206046440.0,25.0,iShares Russell 2000 Value ETF,['BlackRock'],0.059323,0.456718,0.093719,0.130392,Equity: U.S.  -  Small Cap Value,IWN
9006650980.02,8.0,Vanguard Large Cap Index Fund,['Vanguard'],0.074069,0.260964,0.107114,0.138579,Equity: U.S.  -  Large Cap,VV
8702980000.0,65.0,PowerShares Senior Loan Portfolio,['Invesco PowerShares'],,0.107377,0.020919,0.034472,Fixed Income: U.S.  - Corporate High Yield Floating Rate,BKLN
8380682117.5,3.0,Schwab U.S. Broad Market ETF,['Charles Schwab'],,0.272585,0.10389,0.137941,Equity: U.S.  -  Total Market,SCHB
7998511607.4,3.0,Schwab U.S. Large-Cap ETF,['Charles Schwab'],,0.262607,0.107234,0.138626,Equity: U.S.  -  Large Cap,SCHX
7949447275.0,25.0,iShares Russell 2000 Growth ETF,['BlackRock'],0.076615,0.341665,0.06056,0.120437,Equity: U.S.  -  Small Cap Growth,IWO
7439139435.0,3.0,iShares Core S&P Total U.S. Stock Market ETF,['BlackRock'],0.073027,0.274181,0.108469,0.139131,Equity: U.S.  -  Total Market,ITOT
7397235495.0,20.0,iShares Russell 3000 ETF,['BlackRock'],0.071654,0.272821,0.102366,0.136842,Equity: U.S.  -  Total Market,IWV
7200130250.0,25.0,iShares Russell Mid-Cap Growth ETF,['BlackRock'],0.075296,0.232529,0.072575,0.120168,Equity: U.S.  -  Mid Cap Growth,IWP
7144806677.37,8.0,Vanguard Mid Cap Value Index Fund,['Vanguard'],0.07577,0.30324,0.103006,0.147307,Equity: U.S.  -  Mid Cap Value,VOE
6844855660.0,20.0,iShares Intermediate Credit Bond ETF,['BlackRock'],0.044331,0.034174,0.024737,0.026814,Fixed Income: U.S.  -  Corporate Investment Grade Intermediate,CIU
6578751770.0,8.0,iShares Core High Dividend ETF,['BlackRock'],,0.171327,0.107397,0.124554,Equity: U.S.  -  High Dividend Yield,HDV
6319356000.0,25.0,Powershares S&P 500 Low Volatility Portfolio,['Invesco PowerShares'],,0.16042,0.119306,0.135546,Equity: U.S.  -  Large Cap,SPLV
6316757700.0,25.0,iShares S&P Mid-Cap 400 Value ETF,['BlackRock'],0.07851,0.383428,0.104898,0.141876,Equity: U.S.  -  Mid Cap Value,IJJ
6201330380.0,25.0,iShares S&P Mid-Cap 400 Growth ETF,['BlackRock'],0.092671,0.294559,0.091762,0.126704,Equity: U.S.  -  Mid Cap Growth,IJK
5913137467.74,8.0,Vanguard Small-Cap Growth Index Fund,['Vanguard'],0.076486,0.318002,0.049088,0.111114,Equity: U.S.  -  Small Cap Growth,VBK
5881196800.0,36.0,PIMCO Enhanced Short Maturity Active ETF,['PIMCO'],,0.023961,0.010898,0.011271,Fixed Income: U.S.  - Broad Market Investment Grade Short-Term,MINT
5251603932.15,6.0,Schwab U.S. Small-Cap ETF,['Charles Schwab'],,0.372234,0.077576,0.132254,Equity: U.S.  -  Small Cap,SCHA
5168728977.51219,7.0,Schwab US Dividend Equity ETF,['Charles Schwab'],,0.219954,0.109692,0.136686,Equity: U.S.  -  High Dividend Yield,SCHD
5084511575.0,25.0,iShares S&P Small-Cap 600 Value ETF,['BlackRock'],0.076279,0.412504,0.103262,0.141592,Equity: U.S.  -  Small Cap Value,IJS
4970544950.0,39.0,PowerShares FTSE RAFI US 1000 Portfolio,['Invesco PowerShares'],0.076658,0.291777,0.102882,0.141878,Equity: U.S.  -  Large Cap,PRF
4727422490.0,20.0,iShares Floating Rate Bond ETF,['BlackRock'],,0.022607,0.007708,0.011278,Fixed Income: U.S.  - Broad Market Investment Grade Floating Rate,FLOT
4692441679.12,9.0,Vanguard Extended Market Index Fund,['Vanguard'],0.079218,0.359886,0.075224,0.129242,Equity: U.S.  -  Extended Market,VXF
4591050625.0,20.0,iShares S&P 100,['BlackRock'],0.069734,0.248203,0.113502,0.135745,Equity: U.S.  -  Large Cap,OEF
4477315400.0,50.0,PowerShares Preferred Portfolio,['Invesco PowerShares'],,0.073722,0.079379,0.069569,Fixed Income: U.S.  -  Corporate Preferred Stock,PGX
4431099895.0,25.0,iShares S&P Small-Cap 600 Growth ETF,['BlackRock'],0.09478,0.362316,0.107171,0.147015,Equity: U.S.  -  Small Cap Growth,IJT
3994149476.38,8.0,Vanguard Mid Cap Growth Index Fund,['Vanguard'],0.072735,0.249394,0.074546,0.114864,Equity: U.S.  -  Mid Cap Growth,VOT
