"Ticker","Alpha","Beta","Size","Value","Profitability","Investment","Momentum","Volatility","Share Issues","Accruals"
"MDY",-0.0499569082654621,0.994090461761675,0.264031132114889,0.136391823296749,0.257973919815386,0,0.113882294489376,0,-0.159064718186403,-0.170603502184289
"SPY",-0.0222750397495518,1.00474903713261,-0.103909724381986,0,0,0,0,0.0283509871659559,0,0.0351699630901359
"TR06",0.262448426276559,0.196939014084614,0.0823975175510192,0,0,0,0,0,0,0.077035643450505
"TR08",0.336087723425972,0.270890663742283,0.118980902575612,0,0,0,0,0,0,0.110531246726834
"TR10",0.360728192917027,0.35545798850332,0.183687351273932,0,0,0.18388646655568,0,0,0,0.169576548035612
"TR12",0.298261873664444,0.514379190674807,0.304026624364675,0,0.23237667342569,0.378714005859835,0.0952018347500758,0,0,0.15430695003207
